Symbol,Start_Date,End_Date,Observations,Coverage_Years,Pass_Min_History,Coverage_Score
ZYDUSWELL.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
KNRCON.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
KOPRAN.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
KOTAKBANK.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
KOTARISUG.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
KIOCL.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
KIRIINDUS.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
KIRLOSBROS.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
KITEX.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
KMSUGAR.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
KPITTECH.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
WELCORP.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
WELENT.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
WELSPUNLIV.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
WHEELS.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
ABREL.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
ACC.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
ACCELYA.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
ACE.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
ADANIENSOL.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
ADANIENT.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
WHIRLPOOL.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
VTL.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
WABAG.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
ADANIGREEN.NS,2020-01-01,2026-06-15,1599,6.345238095238095,True,100.0
