Symbol,Sector,Optimized_Weight,Period_Return,Contribution,Contribution_Pct
CUPID,Consumer Defensive,0.0499999999999999,0.3280159149828352,0.016400795749141727,1.6400795749141728
SYRMA,Technology,0.0499999999999999,0.24105600789538606,0.012052800394769279,1.2052800394769279
FEDERALBNK,Financial Services,0.0499999999999998,0.12317819380626571,0.006158909690313261,0.6158909690313261
ATHERENERG,Consumer Cyclical,0.0499999999999999,0.1032110064862386,0.005160550324311919,0.5160550324311919
MAHABANK,Financial Services,0.0319548920606319,0.12299263391607296,0.003930216341040926,0.3930216341040926
WELCORP,Basic Materials,0.05,0.0668449197860963,0.0033422459893048154,0.3342245989304815
LAURUSLABS,Healthcare,0.0499999999999999,0.051828329443394994,0.0025914164721697443,0.2591416472169744
POLYCAB,Industrials,0.05,0.040480742966402694,0.0020240371483201346,0.20240371483201347
NAVINFLUOR,Basic Materials,0.0499999999999998,0.03820882731038422,0.0019104413655192034,0.19104413655192035
KEI,Industrials,0.0499999999999999,0.03751831949193951,0.0018759159745969718,0.1875915974596972
BHARATFORG,Consumer Cyclical,0.0499999999999999,0.014688189819944464,0.0007344094909972217,0.07344094909972217
JSWSTEEL,Basic Materials,0.0499999999999999,0.01431023307715873,0.000715511653857935,0.0715511653857935
PHOENIXLTD,Real Estate,0.0499999999999999,0.0071901064135748705,0.0003595053206787428,0.03595053206787428
ADANIPORTS,Industrials,0.0499999999999998,0.005013648332908183,0.0002506824166454081,0.025068241664540813
MOTHERSON,Consumer Cyclical,1.5384886933460611e-16,0.10414100192414377,1.6021975397402558e-17,1.6021975397402558e-15
ACUTAAS,Basic Materials,8.890220354196419e-17,0.1523618080030209,1.3545300467106232e-17,1.3545300467106233e-15
POWERINDIA,Industrials,2.0338682910689366e-16,0.05071461502996777,1.0314684740321956e-17,1.0314684740321955e-15
RRKABEL,Industrials,6.892669964155308e-17,0.1006243467101684,6.935704122319276e-18,6.935704122319276e-16
APOLLOHOSP,Healthcare,1.0478313497506851e-16,0.0530157748221467,5.555159088996836e-18,5.555159088996836e-16
SONACOMS,Consumer Cyclical,1.1629375306292424e-16,0.02693751640808717,3.1326648812905593e-18,3.1326648812905593e-16
KIRLOSENG,Industrials,3.4103148170246475e-17,0.07573845105521859,2.58291961852108e-18,2.5829196185210804e-16
CGPOWER,Industrials,2.8847645996530654e-17,0.08518248907072401,2.4573142898155875e-18,2.4573142898155877e-16
SBIN,Financial Services,4.611813846800592e-17,0.053259953429010354,2.456249907038646e-18,2.456249907038646e-16
GRASIM,Basic Materials,2.887086733074693e-17,0.05920647224791531,1.7093422053911128e-18,1.7093422053911127e-16
ADANIENSOL,Utilities,9.534065427401668e-18,0.14536667961720706,1.3859354344345886e-18,1.3859354344345886e-16
AETHER,Basic Materials,2.6355534972139896e-17,0.036257353871457454,9.555819579564488e-19,9.555819579564489e-17
SHYAMMETL,Basic Materials,2.0720560696201032e-18,0.12482188657737248,2.5863794770407675e-19,2.5863794770407676e-17
CRAFTSMAN,Consumer Cyclical,3.9804143592457095e-18,0.04732644017725263,1.8837884205351942e-19,1.8837884205351944e-17
BSE,Financial Services,2.1631546014540158e-17,0.004599285580813239,9.948965767537264e-20,9.948965767537263e-18
WAAREEENER,Technology,2.7014636290380826e-17,0.0005294830100099901,1.4303790937355953e-20,1.4303790937355953e-18
HINDCOPPER,Basic Materials,0.0,-0.10793509477065977,-0.0,-0.0
GVT&D,Industrials,0.0,0.12605349100396968,0.0,0.0
SAIL,Basic Materials,0.0,-0.04417879558028048,-0.0,-0.0
APARINDS,Industrials,0.0,0.20948616600790504,0.0,0.0
BELRISE,Consumer Cyclical,0.0,0.08583975532904775,0.0,0.0
NATIONALUM,Basic Materials,0.0,-0.06788898285957112,-0.0,-0.0
JINDALSTEL,Basic Materials,0.0,-0.06866881135222203,-0.0,-0.0
TORNTPHARM,Healthcare,0.0,0.039194649981971086,0.0,0.0
ADANIPOWER,Utilities,0.0,-0.003885603412265848,-0.0,-0.0
TITAN,Consumer Cyclical,3.949941412846523e-17,-0.010817705643863973,-4.2729303514681867e-19,-4.272930351468187e-17
GPIL,Basic Materials,2.0479230414982025e-17,-0.03681836168196273,-7.540117123870599e-19,-7.540117123870599e-17
MARICO,Consumer Defensive,4.5803954504589074e-17,-0.02692744903602695,-1.2333836505708194e-18,-1.2333836505708195e-16
NESTLEIND,Consumer Defensive,1.1135565778574834e-16,-0.03320517301642778,-3.6975838831338965e-18,-3.6975838831338966e-16
NYKAA,Consumer Cyclical,0.0180451079393682,-0.005139478442926837,-9.274244325467078e-05,-0.009274244325467078
BAJAJ-AUTO,Consumer Cyclical,0.0499999999999999,-0.01568199895315292,-0.0007840999476576444,-0.07840999476576445
ANANDRATHI,Financial Services,0.0499999999999998,-0.019843179291239244,-0.0009921589645619582,-0.09921589645619583
INDUSTOWER,Communication Services,0.0499999999999999,-0.021504126772639243,-0.00107520633863196,-0.10752063386319599
HINDALCO,Basic Materials,0.05,-0.040655760575234234,-0.002032788028761712,-0.2032788028761712
BHEL,Industrials,0.05,-0.05372833179098113,-0.0026864165895490568,-0.26864165895490566
TATASTEEL,Basic Materials,0.0499999999999999,-0.08942076977087754,-0.004471038488543868,-0.44710384885438675
