Symbol,Current_Weight,Optimized_Weight,Weight_Change
POLYCAB,0.0240201377534145,0.05,0.0259798622465855
BHEL,0.0229016950155881,0.05,0.027098304984411903
WELCORP,0.0175242701555916,0.05,0.0324757298444084
HINDALCO,0.0210850195258961,0.05,0.028914980474103902
TATASTEEL,0.0217621045600958,0.04999999999999999,0.02823789543990419
BAJAJ-AUTO,0.0232284236961244,0.04999999999999999,0.02677157630387559
ATHERENERG,0.0221580263123085,0.049999999999999975,0.027841973687691476
KEI,0.0204306940716267,0.049999999999999975,0.029569305928373275
BHARATFORG,0.0230926270847158,0.049999999999999975,0.026907372915284174
SYRMA,0.0155099013018624,0.04999999999999997,0.03449009869813757
INDUSTOWER,0.0225853370204692,0.04999999999999996,0.02741466297953076
CUPID,0.0186212549529847,0.049999999999999954,0.03137874504701525
LAURUSLABS,0.0214305474044527,0.04999999999999995,0.028569452595547246
PHOENIXLTD,0.0209886656963214,0.04999999999999995,0.029011334303678547
JSWSTEEL,0.0213423248739583,0.04999999999999993,0.028657675126041633
ADANIPORTS,0.0239763587470696,0.049999999999999885,0.026023641252930284
FEDERALBNK,0.0206536566336229,0.049999999999999885,0.029346343366376985
ANANDRATHI,0.0123609172207041,0.049999999999999864,0.037639082779295764
NAVINFLUOR,0.0177534669117742,0.049999999999999864,0.032246533088225664
MAHABANK,0.0137942996732158,0.0319548920606319,0.018160592387416102
NYKAA,0.021201270135853,0.01804510793936826,-0.0031561621964847388
POWERINDIA,0.0236957234556814,2.0338682910689366e-16,-0.023695723455681196
MOTHERSON,0.0226576847906215,1.538488693346061e-16,-0.022657684790621347
SONACOMS,0.0182001045682118,1.1629375306292424e-16,-0.01820010456821168
NESTLEIND,0.0224387385352618,1.1135565778574834e-16,-0.02243873853526169
APOLLOHOSP,0.0229921229331528,1.047831349750685e-16,-0.022992122933152694
ACUTAAS,0.0174012092902968,8.890220354196419e-17,-0.01740120929029671
RRKABEL,0.0181104834288384,6.892669964155308e-17,-0.01811048342883833
SBIN,0.0232725996848592,4.6118138468005905e-17,-0.023272599684859153
MARICO,0.0188589092234991,4.5803954504589074e-17,-0.018858909223499056
TITAN,0.0224050247823875,3.949941412846523e-17,-0.022405024782387463
KIRLOSENG,0.0165293663568896,3.4103148170246475e-17,-0.016529366356889567
GRASIM,0.0199667510582008,2.887086733074693e-17,-0.019966751058200772
CGPOWER,0.022426706882935,2.8847645996530654e-17,-0.022426706882934973
WAAREEENER,0.0197982093465519,2.7014636290380823e-17,-0.01979820934655187
AETHER,0.0134897409599067,2.6355534972139896e-17,-0.013489740959906673
BSE,0.0216850799531143,2.1631546014540155e-17,-0.021685079953114278
GPIL,0.0160770207770766,2.0479230414982025e-17,-0.016077020777076578
ADANIENSOL,0.0182435733252108,9.534065427401668e-18,-0.018243573325210788
CRAFTSMAN,0.0162708392703216,3.98041435924571e-18,-0.016270839270321597
SHYAMMETL,0.0159280904807013,2.0720560696201032e-18,-0.015928090480701297
ADANIPOWER,0.0232526240012415,0.0,-0.0232526240012415
TORNTPHARM,0.0222795389954635,0.0,-0.0222795389954635
GVT&D,0.0226551674540102,0.0,-0.0226551674540102
SAIL,0.0199604255004073,0.0,-0.0199604255004073
APARINDS,0.0210343348602527,0.0,-0.0210343348602527
HINDCOPPER,0.0184223106968242,0.0,-0.0184223106968242
NATIONALUM,0.019846743819672,0.0,-0.019846743819672
BELRISE,0.0177010186579581,0.0,-0.0177010186579581
JINDALSTEL,0.0179788581627996,0.0,-0.0179788581627996
