Symbol,Weight,Marginal_Risk,Component_Risk,Risk_Contribution_Pct,Risk_Bucket
BHEL.NS,0.024354625077635413,0.315768787264128,0.007690430425037454,3.775358047560627,High
SAIL.NS,0.021226755448520655,0.32989754217645845,0.007002654450847712,3.4377175754977847,High
HINDCOPPER.NS,0.019591059516750983,0.3514940229278022,0.006886140322960807,3.380518884909515,High
ADANIPOWER.NS,0.02472781771113464,0.2705661623347307,0.0066905107410144835,3.284481124248235,High
MOTHERSON.NS,0.024095134348231934,0.26228027031912143,0.0063196783502298196,3.1024334398576423,High
NATIONALUM.NS,0.021105861570988045,0.29780330831907487,0.006285395400764666,3.0856033793793625,High
ADANIPORTS.NS,0.025497467659677916,0.245184813106581,0.006251591842829223,3.069008660041903,High
TATASTEEL.NS,0.023142736688296736,0.25942426631461935,0.006003787485873804,2.947357449180364,Medium
HINDALCO.NS,0.02242269600386759,0.2586587312725244,0.005799826100069894,2.847229469765914,Medium
BSE.NS,0.023060825483754457,0.24743901980236424,0.005706148053533585,2.8012413849222892,Medium
JINDALSTEL.NS,0.019119473452988218,0.29583219224007223,0.005656155746073368,2.7766993437289145,Medium
BHARATFORG.NS,0.024557670265152636,0.22928705404939198,0.005630755869413199,2.764230128944288,Medium
GVT&D.NS,0.024092457306671443,0.2179544371067801,0.005251057970794706,2.5778302217916003,Medium
JSWSTEEL.NS,0.022696325325988066,0.22800923920363195,0.005174971870296662,2.5404783109170674,Medium
POLYCAB.NS,0.025544024095132838,0.19712385459876597,0.00503533649159634,2.4719290202318356,Medium
WELCORP.NS,0.01863604545899893,0.26668095322713614,0.004969878367390076,2.4397945567048307,Medium
SBIN.NS,0.024749060692706413,0.20078645726336453,0.004969276217084511,2.439498951273624,Medium
ADANIENSOL.NS,0.019400982683134806,0.2445915537310228,0.004745316498376609,2.3295534632290877,Medium
FEDERALBNK.NS,0.021963966573291926,0.21487466305234407,0.004719499916729051,2.316879681152301,Medium
INDUSTOWER.NS,0.02401819668854941,0.19298581315624144,0.004635171218486254,2.275481344264063,Medium
GPIL.NS,0.01709697963947847,0.26964924404253177,0.004610187635195926,2.2632164947018127,Medium
POWERINDIA.NS,0.025199028295226487,0.18101566213460546,0.004561418792009081,2.2392750721260035,Medium
APARINDS.NS,0.022368795800057777,0.19685888984494807,0.0044034963083677105,2.1617483425992483,Medium
LAURUSLABS.NS,0.022790144873062156,0.18995117227810457,0.004329014735025991,2.1251841203425643,Medium
CGPOWER.NS,0.023849502732795066,0.18018740695937918,0.004297380054692971,2.1096541384850536,Medium
KEI.NS,0.021726858813361036,0.1938241156801734,0.004211189196007685,2.0673416365860366,Medium
KIRLOSENG.NS,0.0175780229419228,0.23192564258720574,0.00407679426621809,2.0013649679615337,Medium
GRASIM.NS,0.021233482312552458,0.18078512531027027,0.0038386977606482036,1.8844795000854029,Medium
PHOENIXLTD.NS,0.02232022929157887,0.17019866287002014,0.0037988731803789803,1.8649289624301058,Medium
CUPID.NS,0.019802625200725035,0.1916877275437417,0.0037959202241274136,1.8634793079202423,Medium
ACUTAAS.NS,0.018505177362382316,0.20143708167084215,0.003727628923679626,1.8299539918489145,Medium
TITAN.NS,0.02382644507573647,0.14744289397229565,0.0035130400150385384,1.7246087876952167,Medium
MAHABANK.NS,0.0146694380708961,0.2366190947296494,0.0034710691565280893,1.7040046069559205,Medium
NYKAA.NS,0.022546321788711007,0.14600446149461815,0.0032918635714451264,1.6160296549157713,Medium
BAJAJ-AUTO.NS,0.024702082089492216,0.13284078224977056,0.003281443907966193,1.610914471734347,Medium
SONACOMS.NS,0.019354756179874633,0.16935421912563942,0.0032778096192098123,1.6091303399568995,Medium
SYRMA.NS,0.01649388095251814,0.1975348328158384,0.003258116016440012,1.5994624283325554,Medium
APOLLOHOSP.NS,0.02445078992601631,0.12889949373568765,0.003151694442901154,1.5472183377045545,Medium
SHYAMMETL.NS,0.016938600902513687,0.1832086144178284,0.0031032976015261103,1.5234595369010353,Medium
NAVINFLUOR.NS,0.018879782923061656,0.16312465296253753,0.003079758037332475,1.5119035799255742,Medium
RRKABEL.NS,0.019259449293332655,0.15711123833046992,0.003025875928038387,1.4854519714069279,Medium
CRAFTSMAN.NS,0.017303094371723452,0.13966328172329237,0.0024166069439227273,1.18635186449725,Medium
TORNTPHARM.NS,0.023692998215535693,0.08965898803287446,0.0021242902434696308,1.0428488163584857,Medium
MARICO.NS,0.02005535674101223,0.08598865930021414,0.0017245332379471536,0.846601565625355,Low
NESTLEIND.NS,0.02386229769759065,0.06788823341128315,0.0016199692358235586,0.7952693871796291,Low
AETHER.NS,0.014345557534030969,0.08865907458330924,0.0012718638553488055,0.6243787637763087,Low
ANANDRATHI.NS,0.01314511892333856,0.07723586448748287,0.0010152746238348237,0.49841491434599683,Low
